variant,source,e_explicit,m_explicit,f_explicit,e_could_be,m_could_be,f_could_be,e_score,m_score,f_score,e_max,m_max,f_max,d_min,d_max,zone,uncertain,question_tags
soya granules,soybean,NULL,granules,base ingredient,?extrusion,NULL,NULL,0,0.8,0.12,0.6,0.8,0.12,0.288,0.468,1,True,True
defatted soya,soybean,skim/defatted meal,skim/defatted meal,base ingredient,NULL,NULL,NULL,0,0.55,0.12,0,0.55,0.12,0.213,0.213,1,False,False
soya bean oil,soybean,NULL,oil,lipid base,cold pressing|solvent extraction|refining,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
refined sugar,sugarcane,refining,crystalline chemical,sweetener,NULL,NULL,base ingredient,0.75,0.98,0.625,0.75,0.98,0.625,0.769,0.769,3,False,False
coconut sugar,coconut,NULL,crystalline chemical,sweetener,refining,NULL,base ingredient,0,0.98,0.625,0.75,0.98,0.625,0.544,0.769,2,True,False
sunflower oil,sunflower,NULL,oil,lipid base,cold pressing|solvent extraction|refining,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
wafer biscuit,wheat,milling|baking,NULL,base ingredient,NULL,NULL,NULL,0.58,0,0.12,0.58,0,0.12,0.222,0.222,1,False,False
zinc sulphate,mineral,NULL,crystalline chemical,NULL,NULL,NULL,NULL,0,0.98,0,0,0.98,0,0.294,0.294,1,False,False
almond pieces,almond,cut/sliced pieces,cut/sliced pieces,base ingredient,NULL,NULL,NULL,0,0.1,0.12,0,0.1,0.12,0.078,0.078,1,False,False
whole almonds,almond,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False
orange powder,orange,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
fennel powder,fennel,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
yeast extract,yeast,solvent extraction,extract/oleoresin,flavouring agent,NULL,NULL,NULL,0.82,0.86,0.675,0.82,0.86,0.675,0.774,0.774,3,False,False
whey proteins,milk,NULL,protein concentrate,base ingredient,NULL,whey powder,NULL,0,0.74,0.12,0,0.74,0.12,0.27,0.27,1,False,False
whey peptides,milk,?hydrolysis,protein isolate,base ingredient,NULL,whey powder,NULL,0.6,0.78,0.12,0.6,0.78,0.12,0.462,0.462,2,False,True
latic culture,lactobacillus,fermentation,NULL,antioxidant|preservative,NULL,NULL,NULL,0.56,0,0.885,0.56,0,0.885,0.522,0.522,2,False,False
ajwair powder,ajwain,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
bishop's seed,ajwain,NULL,whole/fresh pieces,taste profile / spice,NULL,NULL,flavouring agent,0,0.05,0.18,0,0.05,0.675,0.087,0.285,1,False,False
bishop's weed,ajwain,NULL,whole/fresh pieces,taste profile / spice,NULL,NULL,flavouring agent,0,0.05,0.18,0,0.05,0.675,0.087,0.285,1,False,False
apricot juice,apricot,NULL,juice,flavouring agent,NULL,NULL,NULL,0,0.5,0.675,0,0.5,0.675,0.42,0.42,2,False,False
arabica beans,coffee,roasting,whole/fresh pieces,taste profile / spice,NULL,NULL,flavouring agent,0.58,0.05,0.18,0.58,0.05,0.675,0.261,0.459,1,True,False
robusta beans,coffee,roasting,whole/fresh pieces,taste profile / spice,NULL,NULL,flavouring agent,0.58,0.05,0.18,0.58,0.05,0.675,0.261,0.459,1,True,False
baking powder,synthetic,NULL,powder,raising agent,NULL,NULL,NULL,0,0.42,0.475,0,0.42,0.475,0.316,0.316,2,False,False
banana powder,banana,drying,powder,base ingredient,NULL,NULL,flavouring agent,0.42,0.42,0.12,0.42,0.42,0.675,0.3,0.522,2,False,False
malted barley,barley,fermentation,NULL,base ingredient,milling,coarse grits|flour/fine powder,flavouring agent,0.56,0,0.12,0.56,0.33,0.675,0.216,0.537,1,True,False
tulsi extract,tulsi,solvent extraction,extract/oleoresin,flavouring agent,NULL,NULL,taste profile / spice,0.82,0.86,0.675,0.82,0.86,0.675,0.774,0.774,3,False,False
krishna tulsi,tulsi,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False
cassia leaves,cassia,drying,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces|powder,flavouring agent,0.42,0.05,0.18,0.42,0.42,0.675,0.213,0.522,1,True,False
pepper powder,pepper,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
cellulose gum,wood pulp | cotton,NULL,powder,thickener,NULL,modified starch powder,stabiliser,0,0.42,0.615,0,0.96,0.65,0.372,0.548,2,False,False
cellulose gum,wood pulp | cotton,NULL,powder,thickener,NULL,modified starch powder,stabiliser,0,0.42,0.615,0,0.96,0.65,0.372,0.548,2,False,False
paneer cheese,milk,coagulation,dense block,base ingredient,NULL,NULL,NULL,0,0.38,0.12,0,0.38,0.12,0.162,0.162,1,False,False
cheese powder,milk,drying,powder,base ingredient,NULL,NULL,flavouring agent,0.42,0.42,0.12,0.42,0.42,0.675,0.3,0.522,2,False,False
chilli powder,chilli,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
chilli flakes,chilli,drying|cut/sliced pieces,flakes,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0.42,0.36,0.18,0.42,0.36,0.675,0.306,0.504,2,False,False
green chilies,chilli,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False
mild jalapeño,jalapeño,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False
yellow chilli,chilli,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False
cinnamon bark,cinnamon,drying,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces|powder,flavouring agent,0.42,0.05,0.18,0.42,0.42,0.675,0.213,0.522,1,True,False
clover powder,clover,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
cloves powder,clove,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
cacao en pâte,cocoa,roasting|milling,pulp/puree,taste profile / spice,NULL,NULL,flavouring agent,0.58,0.25,0.18,0.58,0.25,0.675,0.321,0.519,2,False,False
shveta jiraka,cumin,NULL,whole/fresh pieces,taste profile / spice,NULL,powder,flavouring agent,0,0.05,0.18,0,0.42,0.675,0.087,0.396,1,True,False
cumin extract,cumin,solvent extraction,extract/oleoresin,taste profile / spice,NULL,NULL,flavouring agent,0.82,0.86,0.18,0.82,0.86,0.675,0.576,0.774,2,True,False
yogurt powder,milk,fermentation,powder,base ingredient,?spray drying,NULL,NULL,0.56,0.42,0.12,0.56,0.42,0.12,0.342,0.342,2,False,True
wheat dextrin,wheat,?dextrinization,powder,bulking agent,NULL,NULL,NULL,0,0.42,0.375,0,0.42,0.375,0.276,0.276,1,False,True
mineral salts,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
cardamom seed,cardamom,NULL,whole/fresh pieces,taste profile / spice,drying,NULL,flavouring agent,0,0.05,0.18,0.42,0.05,0.675,0.087,0.411,1,True,False
greengram dal,greengram,NULL,NULL,base ingredient,milling,coarse grits,NULL,0,0,0.12,0.28,0.3,0.12,0.048,0.222,1,False,False
groundnut oil,groundnut,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
blossom honey,honey,NULL,syrup,sweetener,NULL,NULL,flavouring agent,0,0.4,0.625,0,0.4,0.675,0.37,0.39,2,False,False
alkaline salt,mineral,NULL,crystalline chemical,acidity regulator,NULL,NULL,NULL,0,0.98,0.86,0,0.98,0.86,0.638,0.638,2,False,False
soya lecithin,soybean | sunflower,solvent extraction,emulsifier powder,emulsifier,NULL,NULL,NULL,0.82,0.89,0.825,0.82,0.89,0.825,0.843,0.843,3,False,False
black lentils,lentil,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False
milk products,milk,NULL,NULL,base ingredient,NULL,dense block|powder|fat fraction,NULL,0,0,0.12,0,0.72,0.12,0.048,0.264,1,False,False
dairy product,milk,NULL,NULL,base ingredient,NULL,dense block|powder|fat fraction,NULL,0,0,0.12,0,0.72,0.12,0.048,0.264,1,False,False
rennet casein,milk,NULL,protein isolate,base ingredient,NULL,NULL,NULL,0,0.78,0.12,0,0.78,0.12,0.282,0.282,1,False,False
mineral salts,mineral,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
mustard seeds,mustard,NULL,whole/fresh pieces,taste profile / spice,NULL,NULL,flavouring agent,0,0.05,0.18,0,0.05,0.675,0.087,0.285,1,False,False
mustard whole,mustard,NULL,whole/fresh pieces,taste profile / spice,NULL,NULL,flavouring agent,0,0.05,0.18,0,0.05,0.675,0.087,0.285,1,False,False
nutmeg powder,nutmeg,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
dried oregano,oregano,drying,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0.42,0.05,0.18,0.42,0.1,0.675,0.213,0.426,1,True,False
passion fruit,passion fruit,NULL,whole/fresh pieces,flavouring agent,NULL,juice,NULL,0,0.05,0.675,0,0.5,0.675,0.285,0.42,1,True,False
phenylalaline,synthetic,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
potato flakes,potato,NULL,flakes,base ingredient,NULL,NULL,NULL,0,0.36,0.12,0,0.36,0.12,0.156,0.156,1,False,False
potato powder,potato,NULL,powder,base ingredient,?spray drying,NULL,thickener,0,0.42,0.12,0.42,0.42,0.615,0.174,0.498,1,True,True
potato sticks,potato,?extrusion|frying,cut/sliced pieces,base ingredient,NULL,NULL,NULL,0.6,0.1,0.12,0.6,0.1,0.12,0.258,0.258,1,False,True
pumpkin seeds,pumpkin,NULL,whole/fresh pieces,base ingredient,drying,NULL,NULL,0,0.05,0.12,0.42,0.05,0.12,0.063,0.189,1,False,False
puffed quinoa,quinoa,?puffing,NULL,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,True
rice crispies,rice,?extrusion,flakes,base ingredient,NULL,NULL,NULL,0.6,0.36,0.12,0.6,0.36,0.12,0.336,0.336,2,False,True
spinach paste,spinach,NULL,pulp/puree,base ingredient,NULL,NULL,colour,0,0.25,0.12,0,0.25,0.8,0.123,0.395,1,True,False
spinach puree,spinach,NULL,pulp/puree,base ingredient,NULL,NULL,colour,0,0.25,0.12,0,0.25,0.8,0.123,0.395,1,True,False
tamarind pulp,tamarind,NULL,pulp/puree,flavouring agent,NULL,NULL,acidity regulator,0,0.25,0.675,0,0.25,0.86,0.345,0.419,2,False,False
tartaric acid,synthetic | grape,NULL,crystalline chemical,acidity regulator,NULL,NULL,antioxidant|preservative,0,0.98,0.86,0,0.98,0.885,0.638,0.648,2,False,False
tomato powder,tomato,drying,powder,base ingredient,?spray drying,NULL,colour,0.42,0.42,0.12,0.42,0.42,0.8,0.3,0.572,2,False,True
french tomato,tomato,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False
treated water,water,NULL,juice,base ingredient,NULL,NULL,NULL,0,0.5,0.12,0,0.5,0.12,0.198,0.198,1,False,False
ethyl alcohol,sugarcane | corn,fermentation,juice,solvent,NULL,NULL,NULL,0.56,0.5,0,0.56,0.5,0,0.318,0.318,2,False,False
dl methionine,synthetic,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
dl-methionine,synthetic,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
psyllium husk,psyllium,NULL,hull,thickener,NULL,powder,bulking agent,0,0,0.615,0,0.42,0.615,0.246,0.372,1,True,False
hemicellulase,aspergillus niger,NULL,powder,flour treatment agent,NULL,NULL,NULL,0,0.42,0.93,0,0.42,0.93,0.498,0.498,2,False,False
yogurt powder,milk,fermentation,powder,base ingredient,?spray drying,NULL,NULL,0.56,0.42,0.12,0.56,0.42,0.12,0.342,0.342,2,False,True
mackerel fish,mackerel,NULL,whole/fresh pieces,base ingredient,NULL,cut/sliced pieces,NULL,0,0.05,0.12,0,0.1,0.12,0.063,0.078,1,False,False
cod liver oil,cod,solvent extraction,oil,lipid base,NULL,NULL,NULL,0.82,0.7,0.22,0.82,0.7,0.22,0.544,0.544,2,False,False
vegetable fats,palm | soybean | groundnut,NULL,fat fraction,lipid base,cold pressing|refining|solvent extraction|hydrogenation|interesterification,NULL,NULL,0,0.72,0.22,0.92,0.72,0.22,0.304,0.58,2,False,False
vegetable oils,palm | soybean | sunflower | groundnut,NULL,oil,lipid base,cold pressing|refining|solvent extraction,NULL,NULL,0,0.7,0.22,0.82,0.7,0.22,0.298,0.544,1,True,False
grated carrots,carrot,NULL,cut/sliced pieces,base ingredient,NULL,NULL,NULL,0,0.1,0.12,0,0.1,0.12,0.078,0.078,1,False,False
yellow 5 color,synthetic,NULL,powder,colour,NULL,crystalline chemical,NULL,0,0.42,0.8,0,0.98,0.8,0.446,0.614,2,False,False
yellow 6 color,synthetic,NULL,powder,colour,NULL,crystalline chemical,NULL,0,0.42,0.8,0,0.98,0.8,0.446,0.614,2,False,False
color ins 150a,sugarcane | corn,NULL,colour,colour,NULL,NULL,NULL,0,0,0.8,0,0,0.8,0.32,0.32,2,False,False
color ins 150c,sugarcane | corn,NULL,colour,colour,NULL,NULL,NULL,0,0,0.8,0,0,0.8,0.32,0.32,2,False,False
color ins 150d,sugarcane | corn,NULL,colour,colour,NULL,NULL,NULL,0,0,0.8,0,0,0.8,0.32,0.32,2,False,False
caramel powder,sugarcane,NULL,powder,colour|sweetener,refining,NULL,NULL,0,0.42,0.8,0.75,0.42,0.8,0.446,0.671,2,False,False
color ins 160b,annatto,NULL,colour,colour,NULL,NULL,NULL,0,0,0.8,0,0,0.8,0.32,0.32,2,False,False
color ins 160c,paprika,NULL,colour,colour|taste profile / spice,drying,powder,NULL,0,0,0.8,0.42,0.42,0.8,0.32,0.572,2,False,False
colour ins 100,turmeric,NULL,colour,colour|taste profile / spice,drying,powder,NULL,0,0,0.8,0.42,0.42,0.8,0.32,0.572,2,False,False
color ins 163c,grape | berry,NULL,colour,colour,NULL,NULL,NULL,0,0,0.8,0,0,0.8,0.32,0.32,2,False,False
color ins 160a,annatto | carrot,NULL,colour,colour,NULL,NULL,NULL,0,0,0.8,0,0,0.8,0.32,0.32,2,False,False
color ins e122,synthetic,NULL,colour,colour,NULL,crystalline chemical,NULL,0,0,0.8,0,0.98,0.8,0.32,0.614,2,False,False
cultured cream,milk,fermentation,dense block,base ingredient,NULL,NULL,NULL,0.56,0.38,0.12,0.56,0.38,0.12,0.33,0.33,2,False,False
ginger extract,ginger,solvent extraction,extract/oleoresin,flavouring agent,NULL,essential oil,taste profile / spice,0.82,0.86,0.675,0.82,0.9,0.675,0.774,0.786,3,False,False
liquid glucose,corn | tapioca,NULL,juice,sweetener,?hydrolysis,NULL,NULL,0,0.5,0.625,0.6,0.5,0.625,0.4,0.58,2,False,True
hazelnut paste,hazelnut,NULL,pulp/puree,base ingredient,NULL,NULL,NULL,0,0.25,0.12,0,0.25,0.12,0.123,0.123,1,False,False
haselnusspaste,hazelnut,NULL,pulp/puree,base ingredient,NULL,NULL,NULL,0,0.25,0.12,0,0.25,0.12,0.123,0.123,1,False,False
alphonso mango,mango,NULL,whole/fresh pieces,base ingredient,NULL,NULL,sweetener,0,0.05,0.12,0,0.05,0.625,0.063,0.265,1,False,False
foxtail millet,millet,NULL,NULL,base ingredient,milling,flour/fine powder|coarse grits,NULL,0,0,0.12,0.28,0.33,0.12,0.048,0.231,1,False,False
barnyard flour,barnyard millet,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
pistachio nuts,pistachio,NULL,whole/fresh pieces,base ingredient,NULL,NULL,NULL,0,0.05,0.12,0,0.05,0.12,0.063,0.063,1,False,False
powdered sugar,sugarcane,milling|refining,powder,sweetener,NULL,crystalline chemical,NULL,0.75,0.42,0.625,0.75,0.98,0.625,0.601,0.769,2,True,False
refined sugars,sugarcane,refining,crystalline chemical,sweetener,NULL,NULL,NULL,0.75,0.98,0.625,0.75,0.98,0.625,0.769,0.769,3,False,False
jaggery powder,sugarcane,NULL,powder,sweetener,refining,crystalline chemical,NULL,0,0.42,0.625,0.75,0.98,0.625,0.376,0.769,2,True,False
glucose powder,corn | tapioca,?hydrolysis,powder,sweetener,NULL,crystalline chemical,NULL,0.6,0.42,0.625,0.6,0.98,0.625,0.556,0.724,2,True,True
urad dal flour,black gram,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
udad dal flour,black gram,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
black gram dal,black gram,NULL,NULL,base ingredient,NULL,split,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
wheat crispies,wheat,?extrusion,flakes,base ingredient,NULL,NULL,NULL,0.6,0.36,0.12,0.6,0.36,0.12,0.336,0.336,2,False,True
zinc gluconate,synthetic,NULL,crystalline chemical,base ingredient,NULL,NULL,NULL,0,0.98,0.12,0,0.98,0.12,0.342,0.342,2,False,False
almonds pieces,almond,NULL,cut/sliced pieces,base ingredient,NULL,whole/fresh pieces,NULL,0,0.1,0.12,0,0.1,0.12,0.078,0.078,1,False,False
acid regulator,synthetic | corn,fermentation,crystalline chemical,acidity regulator,NULL,NULL,NULL,0.56,0.98,0.86,0.56,0.98,0.86,0.806,0.806,3,False,False
sodium acetate,synthetic,NULL,crystalline chemical,acidity regulator,NULL,NULL,preservative,0,0.98,0.86,0,0.98,0.885,0.638,0.648,2,False,False
coriander seed,coriander,NULL,whole/fresh pieces,taste profile / spice,drying,powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
orange extract,orange,solvent extraction,extract/oleoresin,flavouring agent,NULL,essential oil,taste profile / spice,0.82,0.86,0.675,0.82,0.9,0.675,0.774,0.786,3,False,False
tumeric powder,turmeric,drying,powder,colour|taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.8,0.42,0.42,0.8,0.572,0.572,2,False,False
turmeric whole,turmeric,NULL,whole/fresh pieces,taste profile / spice,drying,cut/sliced pieces,flavouring agent,0,0.05,0.18,0.42,0.1,0.675,0.087,0.426,1,True,False
snf toned milk,milk,NULL,powder,base ingredient,NULL,concentrate,NULL,0,0.42,0.12,0,0.42,0.12,0.174,0.174,1,False,False
active culture,lactobacillus | streptococcus,fermentation,NULL,base ingredient,NULL,NULL,NULL,0.56,0,0.12,0.56,0,0.12,0.216,0.216,1,False,False
s thermophilus,streptococcus thermophilus,fermentation,NULL,base ingredient,NULL,NULL,NULL,0.56,0,0.12,0.56,0,0.12,0.216,0.216,1,False,False
s.thermophilus,streptococcus thermophilus,fermentation,NULL,base ingredient,NULL,NULL,NULL,0.56,0,0.12,0.56,0,0.12,0.216,0.216,1,False,False
aloe vera bits,aloe vera,NULL,cut/sliced pieces,base ingredient,NULL,whole/fresh pieces,humectant,0,0.1,0.12,0,0.1,0.425,0.078,0.2,1,False,False
aniseed powder,anise,drying,powder,taste profile / spice,NULL,NULL,flavouring agent,0.42,0.42,0.18,0.42,0.42,0.675,0.324,0.522,2,False,False
instant coffee,coffee,NULL,powder,flavouring agent,?spray drying|freeze drying,extract/oleoresin,taste profile / spice,0,0.42,0.675,0.45,0.86,0.675,0.396,0.663,2,False,True
soluble coffee,coffee,NULL,powder,flavouring agent,?spray drying|freeze drying,extract/oleoresin,taste profile / spice,0,0.42,0.675,0.45,0.86,0.675,0.396,0.663,2,False,True
coffee extract,coffee,solvent extraction,extract/oleoresin,flavouring agent,NULL,essential oil,taste profile / spice,0.82,0.86,0.675,0.82,0.9,0.675,0.774,0.786,3,False,False
chickpea flour,chickpea,milling,flour/fine powder,base ingredient,NULL,NULL,NULL,0.28,0.33,0.12,0.28,0.33,0.12,0.231,0.231,1,False,False
split chickpea,chickpea,NULL,split,base ingredient,NULL,NULL,NULL,0,0,0.12,0,0,0.12,0.048,0.048,1,False,False
black cardamom,cardamom,drying,whole/fresh pieces,taste profile / spice,NULL,powder,flavouring agent,0.42,0.05,0.18,0.42,0.42,0.675,0.213,0.522,1,True,False
brown cardamom,cardamom,NULL,whole/fresh pieces,taste profile / spice,drying,powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
large cardamom,cardamom,NULL,whole/fresh pieces,taste profile / spice,drying,powder,flavouring agent,0,0.05,0.18,0.42,0.42,0.675,0.087,0.522,1,True,False
cooking butter,milk,churning,fat fraction,lipid base,NULL,NULL,flavouring agent,0.45,0.72,0.22,0.45,0.72,0.675,0.439,0.621,2,False,False
cereal extract,wheat | rice | corn,solvent extraction,extract/oleoresin,base ingredient,NULL,NULL,NULL,0.82,0.86,0.12,0.82,0.86,0.12,0.552,0.552,2,False,False
cottage cheese,milk,NULL,dense block,base ingredient,fermentation,NULL,NULL,0,0.38,0.12,0.56,0.38,0.12,0.162,0.33,1,True,False
cheddar cheese,milk,NULL,dense block,base ingredient,fermentation,NULL,NULL,0,0.38,0.12,0.56,0.38,0.12,0.162,0.33,1,True,False
paneer protein,milk,NULL,protein concentrate,base ingredient,NULL,NULL,NULL,0,0.74,0.12,0,0.74,0.12,0.27,0.27,1,False,False
dry red chilli,chilli,drying,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces|powder,flavouring agent,0.42,0.05,0.18,0.42,0.42,0.675,0.213,0.522,1,True,False
green chillies,chilli,NULL,whole/fresh pieces,taste profile / spice,NULL,cut/sliced pieces,flavouring agent,0,0.05,0.18,0,0.1,0.675,0.087,0.3,1,True,False
chilli extract,chilli,solvent extraction,extract/oleoresin,taste profile / spice,NULL,NULL,flavouring agent,0.82,0.86,0.18,0.82,0.86,0.675,0.576,0.774,2,True,False
cinnamon whole,cinnamon,drying,whole/fresh pieces,taste profile / spice,NULL,powder,flavouring agent,0.42,0.05,0.18,0.42,0.42,0.675,0.213,0.522,1,True,False
